"pollinator","plant","interactions"
"161","Eristalis.dimidiata","Kalmia.polifolia",0
"162","Eristalis.dimidiata","Smilacina.trifolia",0
"163","Eristalis.dimidiata","Vaccinium.myrtilloides",0
"164","Eristalis.dimidiata","Aronia.melanocarpa",2
"165","Eristalis.dimidiata","Ledum.groenlandicum",5
"166","Eristalis.dimidiata","Gaylussacia.baccata",7
"167","Eristalis.dimidiata","Kalmia.angustifolia",0
"168","Eristalis.dimidiata","Calopogon.pulchellus",0
"169","Eristalis.dimidiata","Spiraea.alba",4
"170","Helophilus.latifrons","Salix.fragilis",0
"171","Helophilus.latifrons","Chamaedaphne.calyculata",0
"172","Helophilus.latifrons","Nemopanthus.mucronata",0
"173","Helophilus.latifrons","Andromeda.glaucophylla",0
"174","Helophilus.latifrons","Kalmia.polifolia",0
"175","Helophilus.latifrons","Smilacina.trifolia",0
"176","Helophilus.latifrons","Vaccinium.myrtilloides",0
"177","Helophilus.latifrons","Aronia.melanocarpa",1
"178","Helophilus.latifrons","Ledum.groenlandicum",14
"179","Helophilus.latifrons","Gaylussacia.baccata",4
"180","Helophilus.latifrons","Kalmia.angustifolia",0
"181","Helophilus.latifrons","Calopogon.pulchellus",0
"182","Helophilus.latifrons","Spiraea.alba",0
"183","Helophilus.fasciatus","Salix.fragilis",0
"184","Helophilus.fasciatus","Chamaedaphne.calyculata",1
"185","Helophilus.fasciatus","Nemopanthus.mucronata",0
"186","Helophilus.fasciatus","Andromeda.glaucophylla",0
"187","Helophilus.fasciatus","Kalmia.polifolia",0
"188","Helophilus.fasciatus","Smilacina.trifolia",0
"189","Helophilus.fasciatus","Vaccinium.myrtilloides",0
"190","Helophilus.fasciatus","Aronia.melanocarpa",2
"191","Helophilus.fasciatus","Ledum.groenlandicum",4
"192","Helophilus.fasciatus","Gaylussacia.baccata",3
"193","Helophilus.fasciatus","Kalmia.angustifolia",1
"194","Helophilus.fasciatus","Calopogon.pulchellus",0
"195","Helophilus.fasciatus","Spiraea.alba",0
"196","Helophilus.laetus","Salix.fragilis",0
"197","Helophilus.laetus","Chamaedaphne.calyculata",0
"198","Helophilus.laetus","Nemopanthus.mucronata",0
"199","Helophilus.laetus","Andromeda.glaucophylla",0
"200","Helophilus.laetus","Kalmia.polifolia",0
"201","Helophilus.laetus","Smilacina.trifolia",0
"202","Helophilus.laetus","Vaccinium.myrtilloides",0
"203","Helophilus.laetus","Aronia.melanocarpa",3
"204","Helophilus.laetus","Ledum.groenlandicum",4
"205","Helophilus.laetus","Gaylussacia.baccata",0
"206","Helophilus.laetus","Kalmia.angustifolia",0
"207","Helophilus.laetus","Calopogon.pulchellus",0
"208","Helophilus.laetus","Spiraea.alba",3
"209","Syritta.pipiens","Salix.fragilis",0
"210","Syritta.pipiens","Chamaedaphne.calyculata",0
"211","Syritta.pipiens","Nemopanthus.mucronata",0
"212","Syritta.pipiens","Andromeda.glaucophylla",0
"213","Syritta.pipiens","Kalmia.polifolia",0
"214","Syritta.pipiens","Smilacina.trifolia",1
"215","Syritta.pipiens","Vaccinium.myrtilloides",0
"216","Syritta.pipiens","Aronia.melanocarpa",14
"217","Syritta.pipiens","Ledum.groenlandicum",0
"218","Syritta.pipiens","Gaylussacia.baccata",0
"219","Syritta.pipiens","Kalmia.angustifolia",3
"220","Syritta.pipiens","Calopogon.pulchellus",0
"221","Syritta.pipiens","Spiraea.alba",1
"222","Toxomerus.marginatus","Salix.fragilis",0
"223","Toxomerus.marginatus","Chamaedaphne.calyculata",0
"224","Toxomerus.marginatus","Nemopanthus.mucronata",0
"225","Toxomerus.marginatus","Andromeda.glaucophylla",0
"226","Toxomerus.marginatus","Kalmia.polifolia",0
"227","Toxomerus.marginatus","Smilacina.trifolia",0
"228","Toxomerus.marginatus","Vaccinium.myrtilloides",0
"229","Toxomerus.marginatus","Aronia.melanocarpa",0
"230","Toxomerus.marginatus","Ledum.groenlandicum",0
"231","Toxomerus.marginatus","Gaylussacia.baccata",0
"232","Toxomerus.marginatus","Kalmia.angustifolia",0
"233","Toxomerus.marginatus","Calopogon.pulchellus",14
"234","Toxomerus.marginatus","Spiraea.alba",0
"235","Syrphus.torvus","Salix.fragilis",0
"236","Syrphus.torvus","Chamaedaphne.calyculata",0
"237","Syrphus.torvus","Nemopanthus.mucronata",1
"238","Syrphus.torvus","Andromeda.glaucophylla",0
"239","Syrphus.torvus","Kalmia.polifolia",0
"240","Syrphus.torvus","Smilacina.trifolia",0
"241","Syrphus.torvus","Vaccinium.myrtilloides",0
"242","Syrphus.torvus","Aronia.melanocarpa",13
"243","Syrphus.torvus","Ledum.groenlandicum",0
"244","Syrphus.torvus","Gaylussacia.baccata",0
"245","Syrphus.torvus","Kalmia.angustifolia",0
"246","Syrphus.torvus","Calopogon.pulchellus",0
"247","Syrphus.torvus","Spiraea.alba",0
"248","Apis.mellifera","Salix.fragilis",1
"249","Apis.mellifera","Chamaedaphne.calyculata",0
"250","Apis.mellifera","Nemopanthus.mucronata",1
"251","Apis.mellifera","Andromeda.glaucophylla",0
"252","Apis.mellifera","Kalmia.polifolia",1
"253","Apis.mellifera","Smilacina.trifolia",0
"254","Apis.mellifera","Vaccinium.myrtilloides",20
"255","Apis.mellifera","Aronia.melanocarpa",0
"256","Apis.mellifera","Ledum.groenlandicum",0
"257","Apis.mellifera","Gaylussacia.baccata",1
"258","Apis.mellifera","Kalmia.angustifolia",0
"259","Apis.mellifera","Calopogon.pulchellus",0
"260","Apis.mellifera","Spiraea.alba",0
"261","Bombus.terricola","Salix.fragilis",3
"262","Bombus.terricola","Chamaedaphne.calyculata",0
"263","Bombus.terricola","Nemopanthus.mucronata",0
"264","Bombus.terricola","Andromeda.glaucophylla",0
"265","Bombus.terricola","Kalmia.polifolia",0
"266","Bombus.terricola","Smilacina.trifolia",0
"267","Bombus.terricola","Vaccinium.myrtilloides",14
"268","Bombus.terricola","Aronia.melanocarpa",0
"269","Bombus.terricola","Ledum.groenlandicum",22
"270","Bombus.terricola","Gaylussacia.baccata",7
"271","Bombus.terricola","Kalmia.angustifolia",0
"272","Bombus.terricola","Calopogon.pulchellus",0
"273","Bombus.terricola","Spiraea.alba",36
"274","Pyrobombus.impatiens","Salix.fragilis",0
"275","Pyrobombus.impatiens","Chamaedaphne.calyculata",1
"276","Pyrobombus.impatiens","Nemopanthus.mucronata",0
"277","Pyrobombus.impatiens","Andromeda.glaucophylla",2
"278","Pyrobombus.impatiens","Kalmia.polifolia",1
"279","Pyrobombus.impatiens","Smilacina.trifolia",0
"280","Pyrobombus.impatiens","Vaccinium.myrtilloides",17
"281","Pyrobombus.impatiens","Aronia.melanocarpa",0
"282","Pyrobombus.impatiens","Ledum.groenlandicum",5
"283","Pyrobombus.impatiens","Gaylussacia.baccata",3
"284","Pyrobombus.impatiens","Kalmia.angustifolia",0
"285","Pyrobombus.impatiens","Calopogon.pulchellus",0
"286","Pyrobombus.impatiens","Spiraea.alba",1
"287","Pyrobombus.perplexus","Salix.fragilis",2
"288","Pyrobombus.perplexus","Chamaedaphne.calyculata",0
"289","Pyrobombus.perplexus","Nemopanthus.mucronata",0
"290","Pyrobombus.perplexus","Andromeda.glaucophylla",0
"291","Pyrobombus.perplexus","Kalmia.polifolia",1
"292","Pyrobombus.perplexus","Smilacina.trifolia",0
"293","Pyrobombus.perplexus","Vaccinium.myrtilloides",14
"294","Pyrobombus.perplexus","Aronia.melanocarpa",2
"295","Pyrobombus.perplexus","Ledum.groenlandicum",0
"296","Pyrobombus.perplexus","Gaylussacia.baccata",0
"297","Pyrobombus.perplexus","Kalmia.angustifolia",0
"298","Pyrobombus.perplexus","Calopogon.pulchellus",0
"299","Pyrobombus.perplexus","Spiraea.alba",2
"300","Pyrobombus.sandersoni","Salix.fragilis",2
"301","Pyrobombus.sandersoni","Chamaedaphne.calyculata",1
"302","Pyrobombus.sandersoni","Nemopanthus.mucronata",0
"303","Pyrobombus.sandersoni","Andromeda.glaucophylla",0
"304","Pyrobombus.sandersoni","Kalmia.polifolia",1
"305","Pyrobombus.sandersoni","Smilacina.trifolia",0
"306","Pyrobombus.sandersoni","Vaccinium.myrtilloides",7
"307","Pyrobombus.sandersoni","Aronia.melanocarpa",2
"308","Pyrobombus.sandersoni","Ledum.groenlandicum",3
"309","Pyrobombus.sandersoni","Gaylussacia.baccata",14
"310","Pyrobombus.sandersoni","Kalmia.angustifolia",2
"311","Pyrobombus.sandersoni","Calopogon.pulchellus",0
"312","Pyrobombus.sandersoni","Spiraea.alba",2
"313","Pyrobombus.ternarius","Salix.fragilis",2
"314","Pyrobombus.ternarius","Chamaedaphne.calyculata",1
"315","Pyrobombus.ternarius","Nemopanthus.mucronata",1
"316","Pyrobombus.ternarius","Andromeda.glaucophylla",1
"317","Pyrobombus.ternarius","Kalmia.polifolia",3
"318","Pyrobombus.ternarius","Smilacina.trifolia",0
"319","Pyrobombus.ternarius","Vaccinium.myrtilloides",16
"320","Pyrobombus.ternarius","Aronia.melanocarpa",1
"321","Pyrobombus.ternarius","Ledum.groenlandicum",9
"322","Pyrobombus.ternarius","Gaylussacia.baccata",6
"323","Pyrobombus.ternarius","Kalmia.angustifolia",3
"324","Pyrobombus.ternarius","Calopogon.pulchellus",0
"325","Pyrobombus.ternarius","Spiraea.alba",7
"326","Andrena.alleghaniensis","Salix.fragilis",0
"327","Andrena.alleghaniensis","Chamaedaphne.calyculata",0
"328","Andrena.alleghaniensis","Nemopanthus.mucronata",6
"329","Andrena.alleghaniensis","Andromeda.glaucophylla",0
"330","Andrena.alleghaniensis","Kalmia.polifolia",0
"331","Andrena.alleghaniensis","Smilacina.trifolia",0
"332","Andrena.alleghaniensis","Vaccinium.myrtilloides",0
"333","Andrena.alleghaniensis","Aronia.melanocarpa",3
"334","Andrena.alleghaniensis","Ledum.groenlandicum",2
"335","Andrena.alleghaniensis","Gaylussacia.baccata",0
"336","Andrena.alleghaniensis","Kalmia.angustifolia",0
"337","Andrena.alleghaniensis","Calopogon.pulchellus",0
"338","Andrena.alleghaniensis","Spiraea.alba",0
"339","Andrena.bradleyi","Salix.fragilis",5
"340","Andrena.bradleyi","Chamaedaphne.calyculata",25
"341","Andrena.bradleyi","Nemopanthus.mucronata",0
"342","Andrena.bradleyi","Andromeda.glaucophylla",0
"343","Andrena.bradleyi","Kalmia.polifolia",2
"344","Andrena.bradleyi","Smilacina.trifolia",0
"345","Andrena.bradleyi","Vaccinium.myrtilloides",12
"346","Andrena.bradleyi","Aronia.melanocarpa",0
"347","Andrena.bradleyi","Ledum.groenlandicum",0
"348","Andrena.bradleyi","Gaylussacia.baccata",4
"349","Andrena.bradleyi","Kalmia.angustifolia",0
"350","Andrena.bradleyi","Calopogon.pulchellus",0
"351","Andrena.bradleyi","Spiraea.alba",0
"352","Andrena.carlini","Salix.fragilis",1
"353","Andrena.carlini","Chamaedaphne.calyculata",6
"354","Andrena.carlini","Nemopanthus.mucronata",2
"355","Andrena.carlini","Andromeda.glaucophylla",0
"356","Andrena.carlini","Kalmia.polifolia",0
"357","Andrena.carlini","Smilacina.trifolia",0
"358","Andrena.carlini","Vaccinium.myrtilloides",1
"359","Andrena.carlini","Aronia.melanocarpa",0
"360","Andrena.carlini","Ledum.groenlandicum",1
"361","Andrena.carlini","Gaylussacia.baccata",0
"362","Andrena.carlini","Kalmia.angustifolia",0
"363","Andrena.carlini","Calopogon.pulchellus",0
"364","Andrena.carlini","Spiraea.alba",0
"365","Andrena.carolina","Salix.fragilis",1
"366","Andrena.carolina","Chamaedaphne.calyculata",0
"367","Andrena.carolina","Nemopanthus.mucronata",0
"368","Andrena.carolina","Andromeda.glaucophylla",0
"369","Andrena.carolina","Kalmia.polifolia",0
"370","Andrena.carolina","Smilacina.trifolia",0
"371","Andrena.carolina","Vaccinium.myrtilloides",6
"372","Andrena.carolina","Aronia.melanocarpa",0
"373","Andrena.carolina","Ledum.groenlandicum",4
"374","Andrena.carolina","Gaylussacia.baccata",5
"375","Andrena.carolina","Kalmia.angustifolia",0
"376","Andrena.carolina","Calopogon.pulchellus",0
"377","Andrena.carolina","Spiraea.alba",0
"378","Andrena.mandibularis","Salix.fragilis",0
"379","Andrena.mandibularis","Chamaedaphne.calyculata",1
"380","Andrena.mandibularis","Nemopanthus.mucronata",7
"381","Andrena.mandibularis","Andromeda.glaucophylla",0
"382","Andrena.mandibularis","Kalmia.polifolia",13
"383","Andrena.mandibularis","Smilacina.trifolia",0
"384","Andrena.mandibularis","Vaccinium.myrtilloides",1
"385","Andrena.mandibularis","Aronia.melanocarpa",0
"386","Andrena.mandibularis","Ledum.groenlandicum",9
"387","Andrena.mandibularis","Gaylussacia.baccata",0
"388","Andrena.mandibularis","Kalmia.angustifolia",3
"389","Andrena.mandibularis","Calopogon.pulchellus",0
"390","Andrena.mandibularis","Spiraea.alba",0
"391","Andrena.regularis","Salix.fragilis",0
"392","Andrena.regularis","Chamaedaphne.calyculata",4
"393","Andrena.regularis","Nemopanthus.mucronata",1
"394","Andrena.regularis","Andromeda.glaucophylla",0
"395","Andrena.regularis","Kalmia.polifolia",6
"396","Andrena.regularis","Smilacina.trifolia",0
"397","Andrena.regularis","Vaccinium.myrtilloides",10
"398","Andrena.regularis","Aronia.melanocarpa",7
"399","Andrena.regularis","Ledum.groenlandicum",31
"400","Andrena.regularis","Gaylussacia.baccata",7
"401","Andrena.regularis","Kalmia.angustifolia",0
"402","Andrena.regularis","Calopogon.pulchellus",0
"403","Andrena.regularis","Spiraea.alba",0
"404","Andrena.vicina","Salix.fragilis",11
"405","Andrena.vicina","Chamaedaphne.calyculata",19
"406","Andrena.vicina","Nemopanthus.mucronata",4
"407","Andrena.vicina","Andromeda.glaucophylla",0
"408","Andrena.vicina","Kalmia.polifolia",1
"409","Andrena.vicina","Smilacina.trifolia",0
"410","Andrena.vicina","Vaccinium.myrtilloides",7
"411","Andrena.vicina","Aronia.melanocarpa",1
"412","Andrena.vicina","Ledum.groenlandicum",11
"413","Andrena.vicina","Gaylussacia.baccata",29
"414","Andrena.vicina","Kalmia.angustifolia",0
"415","Andrena.vicina","Calopogon.pulchellus",0
"416","Andrena.vicina","Spiraea.alba",0
"417","Colletes.inaequalis","Salix.fragilis",51
"418","Colletes.inaequalis","Chamaedaphne.calyculata",6
"419","Colletes.inaequalis","Nemopanthus.mucronata",0
"420","Colletes.inaequalis","Andromeda.glaucophylla",0
"421","Colletes.inaequalis","Kalmia.polifolia",0
"422","Colletes.inaequalis","Smilacina.trifolia",0
"423","Colletes.inaequalis","Vaccinium.myrtilloides",11
"424","Colletes.inaequalis","Aronia.melanocarpa",2
"425","Colletes.inaequalis","Ledum.groenlandicum",3
"426","Colletes.inaequalis","Gaylussacia.baccata",0
"427","Colletes.inaequalis","Kalmia.angustifolia",0
"428","Colletes.inaequalis","Calopogon.pulchellus",0
"429","Colletes.inaequalis","Spiraea.alba",0
"430","Dialictus.pilosus","Salix.fragilis",0
"431","Dialictus.pilosus","Chamaedaphne.calyculata",0
"432","Dialictus.pilosus","Nemopanthus.mucronata",1
"433","Dialictus.pilosus","Andromeda.glaucophylla",0
"434","Dialictus.pilosus","Kalmia.polifolia",4
"435","Dialictus.pilosus","Smilacina.trifolia",0
"436","Dialictus.pilosus","Vaccinium.myrtilloides",0
"437","Dialictus.pilosus","Aronia.melanocarpa",7
"438","Dialictus.pilosus","Ledum.groenlandicum",0
"439","Dialictus.pilosus","Gaylussacia.baccata",0
"440","Dialictus.pilosus","Kalmia.angustifolia",0
"441","Dialictus.pilosus","Calopogon.pulchellus",0
"442","Dialictus.pilosus","Spiraea.alba",0
